"lat" "lon" "nl" "sample" "cluster" "hhid" "weight" "wealthscore"
-1.591564 34.366813 0.0092835873182694 1 359 "359 38" 1160492 -101000
-1.591564 34.366813 0.0092835873182694 1 359 "359 47" 1160492 -77000
-1.591564 34.366813 0.0092835873182694 1 359 "359 67" 1160492 -83000
-1.591564 34.366813 0.0092835873182694 1 359 "359 18" 1160492 -81000
-1.591564 34.366813 0.0092835873182694 1 359 "359 52" 1160492 -72000
-1.591564 34.366813 0.0092835873182694 1 359 "359 43" 1160492 -95000
-1.591564 34.366813 0.0092835873182694 1 359 "359105" 1160492 -72000
-1.591564 34.366813 0.0092835873182694 1 359 "359 86" 1160492 -97000
-1.591564 34.366813 0.0092835873182694 1 359 "359 76" 1160492 -69000
-1.591564 34.366813 0.0092835873182694 1 359 "359 57" 1160492 -42000
-1.591564 34.366813 0.0092835873182694 1 359 "359 62" 1160492 -33000
-1.591564 34.366813 0.0092835873182694 1 359 "359  9" 1160492 -96000
-1.591564 34.366813 0.0092835873182694 1 359 "359  4" 1160492 48000
-1.591564 34.366813 0.0092835873182694 1 359 "359 23" 1160492 -46000
-1.591564 34.366813 0.0092835873182694 1 359 "359 14" 1160492 -69000
-1.591564 34.366813 0.0092835873182694 1 359 "359 91" 1160492 -90000
-1.591564 34.366813 0.0092835873182694 1 359 "359 96" 1160492 -98000
-1.591564 34.366813 0.0092835873182694 1 359 "359 81" 1160492 44000
-1.591564 34.366813 0.0092835873182694 1 359 "359100" 1160492 -91000
-1.600378 31.654493 0.0596903096903097 1 326 "326 84" 1362029 -38000
-1.600378 31.654493 0.0596903096903097 1 326 "326  1" 1362029 -55000
-1.600378 31.654493 0.0596903096903097 1 326 "326 16" 1362029 -51000
-1.600378 31.654493 0.0596903096903097 1 326 "326114" 1362029 -20000
-1.600378 31.654493 0.0596903096903097 1 326 "326 39" 1362029 -35000
-1.600378 31.654493 0.0596903096903097 1 326 "326 91" 1362029 6000
-1.600378 31.654493 0.0596903096903097 1 326 "326  9" 1362029 -56000
-1.600378 31.654493 0.0596903096903097 1 326 "326 76" 1362029 -58000
-1.600378 31.654493 0.0596903096903097 1 326 "326 69" 1362029 -6000
-1.600378 31.654493 0.0596903096903097 1 326 "326 24" 1362029 90000
-1.600378 31.654493 0.0596903096903097 1 326 "326 99" 1362029 -25000
-1.600378 31.654493 0.0596903096903097 1 326 "326106" 1362029 -13000
-1.600378 31.654493 0.0596903096903097 1 326 "326159" 1362029 -70000
-1.600378 31.654493 0.0596903096903097 1 326 "326 46" 1362029 31000
-1.600378 31.654493 0.0596903096903097 1 326 "326 31" 1362029 6000
-1.600378 31.654493 0.0596903096903097 1 326 "326121" 1362029 -45000
-1.600378 31.654493 0.0596903096903097 1 326 "326 61" 1362029 -72000
-1.600378 31.654493 0.0596903096903097 1 326 "326129" 1362029 -73000
-1.600378 31.654493 0.0596903096903097 1 326 "326 54" 1362029 -33000
-1.600378 31.654493 0.0596903096903097 1 326 "326144" 1362029 -66000
-1.600378 31.654493 0.0596903096903097 1 326 "326151" 1362029 -59000
-1.600378 31.654493 0.0596903096903097 1 326 "326136" 1362029 -11000
-1.608169 31.464362 0.0634469696969697 1 323 "323 43" 1240402 -81000
-1.608169 31.464362 0.0634469696969697 1 323 "323 55" 1240402 -85000
-1.608169 31.464362 0.0634469696969697 1 323 "323136" 1240402 -101000
-1.608169 31.464362 0.0634469696969697 1 323 "323 49" 1240402 -70000
-1.608169 31.464362 0.0634469696969697 1 323 "323130" 1240402 -85000
-1.608169 31.464362 0.0634469696969697 1 323 "323 37" 1240402 -97000
-1.608169 31.464362 0.0634469696969697 1 323 "323 99" 1240402 -73000
-1.608169 31.464362 0.0634469696969697 1 323 "323 12" 1240402 -86000
-1.608169 31.464362 0.0634469696969697 1 323 "323 31" 1240402 -93000
-1.608169 31.464362 0.0634469696969697 1 323 "323123" 1240402 -95000
-1.608169 31.464362 0.0634469696969697 1 323 "323 68" 1240402 -51000
-1.608169 31.464362 0.0634469696969697 1 323 "323  6" 1240402 -74000
-1.608169 31.464362 0.0634469696969697 1 323 "323 62" 1240402 -61000
-1.608169 31.464362 0.0634469696969697 1 323 "323117" 1240402 -51000
-1.608169 31.464362 0.0634469696969697 1 323 "323105" 1240402 -96000
-1.608169 31.464362 0.0634469696969697 1 323 "323 74" 1240402 -65000
-1.608169 31.464362 0.0634469696969697 1 323 "323 80" 1240402 50000
-1.608169 31.464362 0.0634469696969697 1 323 "323111" 1240402 -62000
-1.608169 31.464362 0.0634469696969697 1 323 "323 86" 1240402 -75000
-1.608169 31.464362 0.0634469696969697 1 323 "323 93" 1240402 -87000
-1.62662 31.153382 0.0585754451733833 1 317 "317 63" 1706183 1000
-1.62662 31.153382 0.0585754451733833 1 317 "317195" 1706183 0
-1.62662 31.153382 0.0585754451733833 1 317 "317 82" 1706183 -74000
-1.62662 31.153382 0.0585754451733833 1 317 "317205" 1706183 160000
-1.62662 31.153382 0.0585754451733833 1 317 "317 72" 1706183 116000
-1.62662 31.153382 0.0585754451733833 1 317 "317186" 1706183 -66000
-1.62662 31.153382 0.0585754451733833 1 317 "317 25" 1706183 139000
-1.62662 31.153382 0.0585754451733833 1 317 "317138" 1706183 -38000
-1.62662 31.153382 0.0585754451733833 1 317 "317 44" 1706183 186000
-1.62662 31.153382 0.0585754451733833 1 317 "317 53" 1706183 101000
-1.62662 31.153382 0.0585754451733833 1 317 "317 15" 1706183 -52000
-1.62662 31.153382 0.0585754451733833 1 317 "317101" 1706183 97000
-1.62662 31.153382 0.0585754451733833 1 317 "317 34" 1706183 15000
-1.62662 31.153382 0.0585754451733833 1 317 "317176" 1706183 49000
-1.62662 31.153382 0.0585754451733833 1 317 "317  6" 1706183 -63000
-1.62662 31.153382 0.0585754451733833 1 317 "317148" 1706183 -48000
-1.62662 31.153382 0.0585754451733833 1 317 "317110" 1706183 40000
-1.62662 31.153382 0.0585754451733833 1 317 "317 91" 1706183 -21000
-1.62662 31.153382 0.0585754451733833 1 317 "317119" 1706183 -87000
-1.62662 31.153382 0.0585754451733833 1 317 "317167" 1706183 167000
-1.62662 31.153382 0.0585754451733833 1 317 "317129" 1706183 -10000
-1.629137 30.941364 0.0513513513513514 1 318 "318  8" 1332511 -66000
-1.629137 30.941364 0.0513513513513514 1 318 "318 38" 1332511 -31000
-1.629137 30.941364 0.0513513513513514 1 318 "318 53" 1332511 -46000
-1.629137 30.941364 0.0513513513513514 1 318 "318248" 1332511 -64000
-1.629137 30.941364 0.0513513513513514 1 318 "318188" 1332511 -15000
-1.629137 30.941364 0.0513513513513514 1 318 "318 23" 1332511 -35000
-1.629137 30.941364 0.0513513513513514 1 318 "318173" 1332511 -92000
-1.629137 30.941364 0.0513513513513514 1 318 "318158" 1332511 -62000
-1.629137 30.941364 0.0513513513513514 1 318 "318 98" 1332511 -36000
-1.629137 30.941364 0.0513513513513514 1 318 "318203" 1332511 -71000
-1.629137 30.941364 0.0513513513513514 1 318 "318233" 1332511 24000
-1.629137 30.941364 0.0513513513513514 1 318 "318 83" 1332511 -61000
-1.629137 30.941364 0.0513513513513514 1 318 "318143" 1332511 -58000
-1.629137 30.941364 0.0513513513513514 1 318 "318 68" 1332511 -73000
-1.629137 30.941364 0.0513513513513514 1 318 "318218" 1332511 -16000
